title,rating_count
'Til There Was You (1997),9
1-900 (1994),5
101 Dalmatians (1996),109
12 Angry Men (1957),125
187 (1997),41
2 Days in the Valley (1996),93
"20,000 Leagues Under the Sea (1954)",72
2001: A Space Odyssey (1968),259
3 Ninjas: High Noon At Mega Mountain (1998),5
"39 Steps, The (1935)",59
8 1/2 (1963),38
8 Heads in a Duffel Bag (1997),4
8 Seconds (1994),4
A Chef in Love (1996),8
Above the Rim (1994),5
Absolute Power (1997),127
"Abyss, The (1989)",151
Ace Ventura: Pet Detective (1994),103
Ace Ventura: When Nature Calls (1995),37
Across the Sea of Time (1995),4
Addams Family Values (1993),87
Addicted to Love (1997),54
"Addiction, The (1995)",11
"Adventures of Pinocchio, The (1996)",39
"Adventures of Priscilla, Queen of the Desert, The (1994)",111
"Adventures of Robin Hood, The (1938)",67
"Affair to Remember, An (1957)",26
"African Queen, The (1951)",152
Afterglow (1997),18
"Age of Innocence, The (1993)",65
Aiqing wansui (1994),1
Air Bud (1997),43
Air Force One (1997),431
"Air Up There, The (1994)",16
Airheads (1994),32
Akira (1988),50
Aladdin (1992),219
Aladdin and the King of Thieves (1996),26
Alaska (1996),13
Albino Alligator (1996),6
Alice in Wonderland (1951),81
Alien (1979),291
Alien 3 (1992),100
Alien: Resurrection (1997),124
Aliens (1986),284
All About Eve (1950),66
All Dogs Go to Heaven 2 (1996),15
All Over Me (1997),3
All Things Fair (1996),1
Alphaville (1965),12
Amadeus (1984),276
Amateur (1994),18
"Amazing Panda Adventure, The (1995)",10
American Buffalo (1996),11
American Dream (1990),2
"American President, The (1995)",164
American Strays (1996),2
"American Werewolf in London, An (1981)",99
"American in Paris, An (1951)",50
Amistad (1997),124
Amityville 1992: It's About Time (1992),5
Amityville 3-D (1983),6
"Amityville Curse, The (1990)",4
"Amityville Horror, The (1979)",53
Amityville II: The Possession (1982),14
Amityville: A New Generation (1993),5
Amityville: Dollhouse (1996),3
Amos & Andrew (1993),19
An Unforgettable Summer (1994),4
Anaconda (1997),38
Anastasia (1997),66
Andre (1994),18
Angel Baby (1995),4
Angel and the Badman (1947),6
Angel on My Shoulder (1946),1
Angela (1995),1
Angels and Insects (1995),72
Angels in the Outfield (1994),39
Angus (1995),14
Anna (1996),2
Anna Karenina (1997),33
Anne Frank Remembered (1995),21
Annie Hall (1977),180
Another Stakeout (1993),28
Antonia's Line (1995),69
Aparajito (1956),7
"Apartment, The (1960)",63
Apocalypse Now (1979),221
Apollo 13 (1995),276
"Apostle, The (1997)",55
"Apple Dumpling Gang, The (1975)",25
April Fool's Day (1986),15
Apt Pupil (1998),160
"Aristocats, The (1970)",54
Army of Darkness (1993),116
Around the World in 80 Days (1956),59
"Arrival, The (1996)",83
Arsenic and Old Lace (1944),115
As Good As It Gets (1997),112
Assassins (1995),39
"Assignment, The (1997)",18
"Associate, The (1996)",41
Audrey Rose (1977),12
August (1996),1
Austin Powers: International Man of Mystery (1997),130
"Awfully Big Adventure, An (1995)",8
Ayn Rand: A Sense of Life (1997),7
B*A*P*S (1997),3
B. Monkey (1998),1
Babe (1995),219
"Baby-Sitters Club, The (1995)",10
Babyfever (1994),2
"Babysitter, The (1995)",3
Back to the Future (1985),350
Backbeat (1993),19
Bad Boys (1995),57
Bad Company (1995),9
Bad Girls (1994),6
Bad Moon (1996),6
Bad Taste (1987),16
"Ballad of Narayama, The (Narayama Bushiko) (1958)",4
Balto (1995),16
Bananas (1971),57
"Band Wagon, The (1953)",9
Barb Wire (1996),30
Barbarella (1968),28
Barcelona (1994),53
Basic Instinct (1992),101
"Basketball Diaries, The (1995)",40
Basquiat (1996),44
Bastard Out of Carolina (1996),16
Batman & Robin (1997),62
Batman (1989),201
Batman Forever (1995),114
Batman Returns (1992),142
Baton Rouge (1988),1
Bean (1997),91
"Beans of Egypt, Maine, The (1994)",2
Beat the Devil (1954),7
"Beautician and the Beast, The (1997)",86
Beautiful Girls (1996),115
Beautiful Thing (1996),29
Beauty and the Beast (1991),202
Beavis and Butt-head Do America (1996),156
Bed of Roses (1996),60
Bedknobs and Broomsticks (1971),57
Before Sunrise (1995),49
Before and After (1996),26
Before the Rain (Pred dozhdot) (1994),10
Being Human (1993),4
Being There (1979),116
"Believers, The (1987)",16
Belle de jour (1967),37
Ben-Hur (1959),124
Benny & Joon (1993),102
Bent (1997),6
Best Men (1997),5
Best of the Best 3: No Turning Back (1995),6
Better Off Dead... (1985),79
"Beverly Hillbillies, The (1993)",20
Beverly Hills Cop III (1994),28
Beverly Hills Ninja (1997),48
"Bewegte Mann, Der (1994)",3
Beyond Bedlam (1993),2
Beyond Rangoon (1995),18
Bhaji on the Beach (1993),8
"Big Bang Theory, The (1994)",1
"Big Blue, The (Grand bleu, Le) (1988)",17
Big Bully (1996),14
"Big Green, The (1995)",14
"Big Lebowski, The (1998)",42
Big Night (1996),171
"Big One, The (1997)",1
"Big Sleep, The (1946)",73
"Big Squeeze, The (1996)",4
Billy Madison (1995),37
Bio-Dome (1996),31
Bird of Prey (1996),1
"Birdcage, The (1996)",293
"Birds, The (1963)",162
Bitter Moon (1992),10
Bitter Sugar (Azucar Amargo) (1996),3
Black Beauty (1994),27
Black Sheep (1996),55
Blade Runner (1982),275
Blink (1994),19
Bliss (1997),7
"Blob, The (1958)",46
Blood & Wine (1997),22
Blood Beach (1981),6
Blood For Dracula (Andy Warhol's Dracula) (1974),5
Bloodsport 2 (1995),10
"Bloody Child, The (1996)",1
Blown Away (1994),29
"Blue Angel, The (Blaue Engel, Der) (1930)",18
Blue Chips (1994),9
Blue Sky (1994),12
Blue in the Face (1995),45
Blues Brothers 2000 (1998),28
"Blues Brothers, The (1980)",251
Bob Roberts (1992),85
Body Parts (1991),13
"Body Snatcher, The (1945)",22
Body Snatchers (1993),69
Bogus (1996),22
"Bonheur, Le (1965)",4
Bonnie and Clyde (1967),122
Boogie Nights (1997),189
Boomerang (1992),32
"Boot, Das (1981)",201
Booty Call (1997),48
Bottle Rocket (1996),44
Bound (1996),129
Boxing Helena (1993),15
Boy's Life 2 (1997),6
Boys (1996),6
Boys Life (1995),5
Boys in Venice (1996),2
"Boys of St. Vincent, The (1993)",13
Boys on the Side (1995),34
"Boys, Les (1997)",3
"Brady Bunch Movie, The (1995)",76
Braindead (1992),14
Bram Stoker's Dracula (1992),120
Brassed Off (1996),32
Braveheart (1995),297
Brazil (1985),208
Bread and Chocolate (Pane e cioccolata) (1973),12
Breakdown (1997),77
Breakfast at Tiffany's (1961),95
Breaking the Waves (1996),74
Bride of Frankenstein (1935),46
"Bridge on the River Kwai, The (1957)",165
"Bridges of Madison County, The (1995)",67
Bringing Up Baby (1938),68
Broken Arrow (1996),254
Broken English (1996),8
"Bronx Tale, A (1993)",48
Brother Minister: The Assassination of Malcolm X (1994),5
"Brother's Kiss, A (1997)",1
"Brothers McMullen, The (1995)",73
Brothers in Trouble (1995),1
"Browning Version, The (1994)",10
Buddy (1997),4
Bulletproof (1996),49
Bullets Over Broadway (1994),86
Burnt By the Sun (1994),24
Burnt Offerings (1976),9
Bushwhacked (1995),7
Butch Cassidy and the Sundance Kid (1969),216
"Butcher Boy, The (1998)",2
Butterfly Kiss (1995),1
"Bye Bye, Love (1995)",15
C'est arrivé près de chez vous (1992),4
Cabin Boy (1994),16
"Cable Guy, The (1996)",106
Calendar Girl (1993),3
Canadian Bacon (1994),29
"Candidate, The (1972)",39
Candyman (1992),65
Candyman: Farewell to the Flesh (1995),21
Cape Fear (1962),86
Cape Fear (1991),171
Captives (1994),3
Career Girls (1997),39
Careful (1992),1
Carlito's Way (1993),54
Carmen Miranda: Bananas Is My Business (1994),2
Caro Diario (Dear Diary) (1994),4
Carpool (1996),5
Carrie (1976),121
Carried Away (1996),11
Carrington (1995),13
Casablanca (1942),243
Casino (1995),91
Casper (1995),52
Castle Freak (1995),4
Cat People (1982),48
Cat on a Hot Tin Roof (1958),62
Cats Don't Dance (1997),32
Catwalk (1995),3
Caught (1996),8
Celestial Clockwork (1994),2
"Celluloid Closet, The (1995)",56
Celtic Pride (1996),15
"Cement Garden, The (1993)",10
Cemetery Man (Dellamorte Dellamore) (1994),23
Century (1993),1
Chain Reaction (1996),80
Chairman of the Board (1998),9
"Chamber, The (1996)",43
Charade (1963),40
Chasers (1994),5
Chasing Amy (1997),379
Children of the Corn: The Gathering (1996),19
Children of the Revolution (1996),5
Chinatown (1974),147
"Christmas Carol, A (1938)",69
Chungking Express (1994),28
"Ciao, Professore! (1993)",4
Cinderella (1950),129
Cinema Paradiso (1988),121
Circle of Friends (1995),76
Citizen Kane (1941),198
Citizen Ruth (1996),45
City Hall (1996),79
City Slickers II: The Legend of Curly's Gold (1994),44
City of Angels (1998),8
City of Industry (1997),6
"City of Lost Children, The (1995)",96
Clean Slate (1994),10
Clean Slate (Coup de Torchon) (1981),4
Clear and Present Danger (1994),179
Clerks (1994),148
"Client, The (1994)",97
Cliffhanger (1993),93
Clockers (1995),33
"Clockwork Orange, A (1971)",221
"Close Shave, A (1995)",112
Clueless (1995),170
Cobb (1994),15
Cold Comfort Farm (1995),125
Coldblooded (1995),1
"Collectionneuse, La (1967)",2
"Colonel Chabert, Le (1994)",4
Color of Night (1994),15
Commandments (1997),3
Con Air (1997),137
Conan the Barbarian (1981),107
Condition Red (1995),2
Coneheads (1993),41
Congo (1995),42
Conspiracy Theory (1997),295
Contact (1997),509
"Contempt (Mépris, Le) (1963)",9
"Convent, The (Convento, O) (1995)",2
"Cook the Thief His Wife & Her Lover, The (1989)",82
Cool Hand Luke (1967),164
Cool Runnings (1993),68
Cop Land (1997),175
Cops and Robbersons (1994),13
Copycat (1995),86
"Corrina, Corrina (1994)",39
Cosi (1996),4
Country Life (1994),2
Courage Under Fire (1996),221
"Cowboy Way, The (1994)",19
"Craft, The (1996)",104
Crash (1996),128
Crimson Tide (1995),154
Critical Care (1997),11
Cronos (1992),10
Crooklyn (1994),10
Crossfire (1947),4
"Crossing Guard, The (1995)",28
"Crow, The (1994)",134
"Crow: City of Angels, The (1996)",39
Crows and Sparrows (1949),2
"Crucible, The (1996)",77
"Crude Oasis, The (1995)",1
Crumb (1994),81
"Cry, the Beloved Country (1995)",24
"Crying Game, The (1992)",119
Curdled (1996),8
"Cure, The (1995)",6
Cutthroat Island (1995),18
Cyclo (1995),1
Cyrano de Bergerac (1990),66
"Cérémonie, La (1995)",3
D3: The Mighty Ducks (1996),19
Dadetown (1995),1
Daens (1992),1
"Damsel in Distress, A (1937)",1
Dances with Wolves (1990),256
Dangerous Beauty (1998),13
Dangerous Ground (1997),8
Dangerous Minds (1995),47
Daniel Defoe's Robinson Crusoe (1996),2
Dante's Peak (1997),240
Dark City (1998),16
Dave (1993),180
"Davy Crockett, King of the Wild Frontier (1955)",11
"Day the Earth Stood Still, The (1951)",97
"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",2
Daylight (1996),57
Days of Thunder (1990),53
"Daytrippers, The (1996)",15
Dazed and Confused (1993),64
Dead Man (1995),34
Dead Man Walking (1995),299
Dead Poets Society (1989),251
Dead Presidents (1995),18
Dear God (1996),12
Death and the Maiden (1994),28
Death in Brunswick (1991),1
"Death in the Garden (Mort en ce jardin, La) (1956)",1
Deceiver (1997),29
Deconstructing Harry (1997),65
Deep Rising (1998),14
"Deer Hunter, The (1978)",120
Delicatessen (1991),65
Delta of Venus (1994),2
Demolition Man (1993),92
Denise Calls Up (1995),7
Desert Winds (1995),1
"Designated Mourner, The (1997)",7
Desperado (1995),97
Desperate Measures (1998),72
Destiny Turns on the Radio (1995),2
Devil in a Blue Dress (1995),57
"Devil's Advocate, The (1997)",188
"Devil's Own, The (1997)",240
Diabolique (1996),71
Dial M for Murder (1954),68
Die Hard (1988),243
Die Hard 2 (1990),166
Die Hard: With a Vengeance (1995),151
"Die xue shuang xiong (Killer, The) (1989)",31
Dingo (1992),5
Dirty Dancing (1987),98
Disclosure (1994),40
Diva (1981),66
Dolores Claiborne (1994),79
Don Juan DeMarco (1995),76
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),35
Donnie Brasco (1997),147
"Doom Generation, The (1995)",7
"Doors, The (1991)",46
Double Happiness (1994),7
Double Team (1997),13
"Double vie de Véronique, La (Double Life of Veronique, The) (1991)",22
Down Periscope (1996),101
Down by Law (1986),35
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),194
Dracula: Dead and Loving It (1995),25
Dragonheart (1996),158
Dream Man (1995),2
Dream With the Fishes (1997),7
Drop Dead Fred (1991),24
Drop Zone (1994),31
Drunks (1995),5
Duck Soup (1933),93
Dumb & Dumber (1994),69
Dumbo (1941),123
Dunston Checks In (1996),7
Duoluo tianshi (1995),6
E.T. the Extra-Terrestrial (1982),300
East of Eden (1955),59
Eat Drink Man Woman (1994),80
Ed (1996),6
Ed Wood (1994),133
Ed's Next Move (1996),3
Eddie (1996),40
"Edge, The (1997)",113
"Eighth Day, The (1996)",1
Emma (1996),177
"Empire Strikes Back, The (1980)",367
Enchanted April (1991),70
"Endless Summer 2, The (1994)",10
"Enfer, L' (1994)",4
"English Patient, The (1996)",481
"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",32
Entertaining Angels: The Dorothy Day Story (1996),1
Eraser (1996),206
Escape from L.A. (1996),91
Escape from New York (1981),91
Escape to Witch Mountain (1975),30
Etz Hadomim Tafus (Under the Domin Tree) (1994),1
Eve's Bayou (1997),64
Even Cowgirls Get the Blues (1993),5
"Evening Star, The (1996)",29
Event Horizon (1997),127
Everest (1998),2
Every Other Weekend (1990),1
Everyone Says I Love You (1996),168
Evil Dead II (1987),89
Evita (1996),259
Excess Baggage (1997),52
Executive Decision (1996),157
Exit to Eden (1994),16
Exotica (1994),27
Extreme Measures (1996),64
Eye for an Eye (1996),32
"Eye of Vichy, The (Oeil de Vichy, L') (1993)",1
Face/Off (1997),194
Faces (1968),4
Fair Game (1995),11
FairyTale: A True Story (1997),30
Faithful (1996),10
Fall (1997),3
Fallen (1998),41
Falling in Love Again (1980),2
"Family Thing, A (1996)",45
"Fan, The (1996)",64
Fantasia (1940),174
Far From Home: The Adventures of Yellow Dog (1995),7
Farewell My Concubine (1993),46
"Farewell to Arms, A (1932)",12
Fargo (1996),508
Farinelli: il castrato (1994),17
Farmer & Chase (1995),1
"Fast, Cheap & Out of Control (1997)",32
Faster Pussycat! Kill! Kill! (1965),7
Fatal Instinct (1993),19
Father of the Bride (1950),60
Father of the Bride Part II (1995),128
Fathers' Day (1997),31
Faust (1994),5
Fausto (1993),3
"Favor, The (1994)",1
Fear (1996),44
Fear of a Black Hat (1993),10
"Fear, The (1995)",1
Fearless (1993),25
Feast of July (1995),5
Feeling Minnesota (1996),32
Female Perversions (1996),8
Field of Dreams (1989),212
Fierce Creatures (1997),96
"Fifth Element, The (1997)",197
"Fille seule, La (A Single Girl) (1995)",4
Fire Down Below (1997),44
Fire on the Mountain (1996),1
Firestorm (1998),18
"Firm, The (1993)",151
First Kid (1996),40
First Knight (1995),86
"First Wives Club, The (1996)",160
"Fish Called Wanda, A (1988)",247
Fled (1996),34
Flesh and Bone (1993),6
"Flintstones, The (1994)",31
Flipper (1996),20
Flirt (1995),5
Flirting With Disaster (1996),42
"Flower of My Secret, The (Flor de mi secreto, La) (1995)",6
Flubber (1997),53
Fluke (1995),14
Fly Away Home (1996),180
"Fog, The (1980)",23
Fools Rush In (1997),24
For Ever Mozart (1996),3
For Love or Money (1993),12
For Richer or Poorer (1997),14
For Whom the Bell Tolls (1943),20
For the Moment (1994),3
"Forbidden Christ, The (Cristo proibito, Il) (1950)",4
Forbidden Planet (1956),67
Foreign Correspondent (1940),15
Foreign Student (1994),2
Forget Paris (1995),62
Forrest Gump (1994),321
Four Days in September (1997),12
Four Rooms (1995),90
Four Weddings and a Funeral (1994),251
"Fox and the Hound, The (1981)",61
Foxfire (1996),15
Frankie Starlight (1995),4
Free Willy (1993),33
Free Willy 2: The Adventure Home (1995),11
Free Willy 3: The Rescue (1997),27
Freeway (1996),42
French Kiss (1995),84
French Twist (Gazon maudit) (1995),39
Fresh (1994),10
Friday (1995),26
Fried Green Tomatoes (1991),153
"Frighteners, The (1996)",115
Frisk (1995),3
From Dusk Till Dawn (1996),92
"Fugitive, The (1993)",336
Full Metal Jacket (1987),170
"Full Monty, The (1997)",315
Full Speed (1996),8
"Funeral, The (1996)",21
Funny Face (1957),21
"Further Gesture, A (1996)",1
G.I. Jane (1997),175
Gabbeh (1996),6
"Game, The (1997)",251
Gandhi (1982),195
Gang Related (1997),16
"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",24
Gaslight (1944),35
"Gate of Heavenly Peace, The (1995)",1
Gattaca (1997),136
"Gay Divorcee, The (1934)",15
George of the Jungle (1997),162
Georgia (1995),30
Germinal (1993),4
Geronimo: An American Legend (1993),9
Get Shorty (1995),209
Get on the Bus (1996),38
"Getaway, The (1994)",18
Getting Away With Murder (1996),1
Getting Even with Dad (1994),5
Ghost (1990),170
"Ghost and Mrs. Muir, The (1947)",43
"Ghost and the Darkness, The (1996)",128
Ghost in the Shell (Kokaku kidotai) (1995),26
Ghosts of Mississippi (1996),29
Giant (1956),51
Gigi (1958),41
Gilligan's Island: The Movie (1998),3
Girl 6 (1996),25
Girl in the Cadillac (1995),1
Girls Town (1996),1
"Glass Shield, The (1994)",2
Glengarry Glen Ross (1992),69
"Glimmer Man, The (1996)",48
Glory (1989),171
Go Fish (1994),15
"Godfather, The (1972)",413
"Godfather: Part II, The (1974)",209
Gold Diggers: The Secret of Bear Mountain (1995),10
Golden Earrings (1947),2
GoldenEye (1995),131
Gone Fishin' (1997),11
Gone with the Wind (1939),171
"Good Man in Africa, A (1994)",2
Good Morning (1971),1
Good Will Hunting (1997),198
"Good, The Bad and The Ugly, The (1966)",137
GoodFellas (1990),226
"Goofy Movie, A (1995)",20
Gordy (1995),3
Grace of My Heart (1996),8
"Graduate, The (1967)",239
"Grand Day Out, A (1992)",66
"Grass Harp, The (1995)",9
Grateful Dead (1995),4
Grease (1978),170
Grease 2 (1982),24
"Great Day in Harlem, A (1994)",1
"Great Dictator, The (1940)",46
"Great Escape, The (1963)",124
Great Expectations (1998),27
"Great Race, The (1965)",31
"Great White Hype, The (1996)",49
Gridlock'd (1997),19
"Grifters, The (1990)",89
Grosse Fatigue (1994),4
Grosse Pointe Blank (1997),160
Groundhog Day (1993),280
Grumpier Old Men (1995),148
Guantanamera (1994),4
Guilty as Sin (1993),6
Gumby: The Movie (1995),5
Hackers (1995),33
Half Baked (1998),20
Halloween: The Curse of Michael Myers (1995),25
Hamlet (1996),90
Hana-bi (1997),1
Happy Gilmore (1996),149
Hard Eight (1996),15
Hard Rain (1998),31
Hard Target (1993),40
Harlem (1993),4
Harold and Maude (1971),121
Harriet the Spy (1996),40
"Hate (Haine, La) (1995)",18
"Haunted World of Edward D. Wood Jr., The (1995)",15
He Walked by Night (1948),1
Head Above Water (1996),4
Hear My Song (1991),8
Hearts and Minds (1996),5
Heat (1995),223
Heathers (1989),171
Heaven & Earth (1993),9
Heaven's Prisoners (1996),27
Heavenly Creatures (1994),70
Heavy (1995),5
Heavy Metal (1981),73
Heavyweights (1994),13
Hedd Wyn (1992),1
Heidi Fleiss: Hollywood Madam (1995) ,13
Hellraiser: Bloodline (1996),18
Henry V (1989),124
Herbie Rides Again (1974),11
Hercules (1997),66
Here Comes Cookie (1935),1
Hideaway (1995),9
High Noon (1952),88
High School High (1996),29
Higher Learning (1995),30
Highlander (1986),153
Highlander III: The Sorcerer (1994),16
His Girl Friday (1940),56
Hollow Reed (1996),6
Homage (1995),1
Home Alone (1990),137
Home Alone 3 (1997),19
Home for the Holidays (1995),58
Homeward Bound II: Lost in San Francisco (1996),32
Homeward Bound: The Incredible Journey (1993),61
Hoodlum (1997),73
Hoop Dreams (1994),117
"Horse Whisperer, The (1998)",7
"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",9
Hostile Intentions (1994),1
Hot Shots! Part Deux (1993),68
Hotel de Love (1996),4
"Hour of the Pig, The (1993)",14
House Arrest (1996),25
House Party 3 (1994),9
"House of Yes, The (1997)",18
"House of the Spirits, The (1993)",24
Houseguest (1994),24
How to Be a Player (1997),21
How to Make an American Quilt (1995),71
"Howling, The (1981)",38
"Hudsucker Proxy, The (1994)",110
Hugo Pool (1997),7
"Hunchback of Notre Dame, The (1996)",127
"Hungarian Fairy Tale, A (1987)",1
"Hunt for Red October, The (1990)",227
"Hunted, The (1995)",3
Hurricane Streets (1998),9
Hush (1998),1
I Can't Sleep (J'ai pas sommeil) (1994),3
I Don't Want to Talk About It (De eso no se habla) (1993),1
I Know What You Did Last Summer (1997),100
I Like It Like That (1994),3
I Love Trouble (1994),10
I Shot Andy Warhol (1996),37
I'll Do Anything (1994),10
I'm Not Rappaport (1996),17
"I, Worst of All (Yo, la peor de todas) (1990)",1
I.Q. (1994),81
"Ice Storm, The (1997)",108
If Lucy Fell (1996),29
Ill Gotten Gains (1997),3
Immortal Beloved (1994),63
In & Out (1997),230
In Love and War (1996),28
In the Army Now (1994),18
In the Bleak Midwinter (1995),16
In the Company of Men (1997),66
In the Line of Duty 2 (1987),4
In the Line of Fire (1993),169
In the Mouth of Madness (1995),26
In the Name of the Father (1993),102
In the Realm of the Senses (Ai no corrida) (1976),9
Incognito (1997),10
Independence Day (ID4) (1996),429
Indian Summer (1996),20
"Indian in the Cupboard, The (1995)",39
Indiana Jones and the Last Crusade (1989),331
Infinity (1996),6
"Inkwell, The (1994)",3
"Innocent Sleep, The (1995)",2
"Innocents, The (1961)",4
"Inspector General, The (1949)",18
Interview with the Vampire (1994),137
Intimate Relations (1996),2
Inventing the Abbotts (1997),23
"Invitation, The (Zaproszenie) (1986)",1
"Island of Dr. Moreau, The (1996)",57
It Could Happen to You (1994),46
It Happened One Night (1934),81
It Takes Two (1995),3
It's My Party (1995),21
It's a Wonderful Life (1946),231
JLG/JLG - autoportrait de décembre (1994),1
Jack (1996),70
Jack and Sarah (1995),7
"Jackal, The (1997)",87
Jackie Brown (1997),126
Jackie Chan's First Strike (1996),145
Jade (1995),17
James and the Giant Peach (1996),126
Jane Eyre (1996),63
Jason's Lyric (1994),8
Jaws (1975),280
Jaws 2 (1978),66
Jaws 3-D (1983),16
Jean de Florette (1986),64
Jefferson in Paris (1995),5
Jeffrey (1995),34
"Jerky Boys, The (1994)",3
Jerry Maguire (1996),384
Jimmy Hollywood (1994),8
Jingle All the Way (1996),18
Joe's Apartment (1996),45
Johnny 100 Pesos (1993),2
Johnny Mnemonic (1995),41
Johns (1996),1
"Journey of August King, The (1995)",4
"Joy Luck Club, The (1993)",3
Jude (1996),23
Judge Dredd (1995),39
Judgment Night (1993),25
Jumanji (1995),96
"Jungle Book, The (1994)",85
Jungle2Jungle (1997),132
Junior (1994),45
Jupiter's Wife (1994),1
Jurassic Park (1993),261
"Juror, The (1996)",82
Jury Duty (1995),14
Just Cause (1995),28
Kalifornia (1993),59
Kama Sutra: A Tale of Love (1996),22
Kansas City (1996),23
Kaspar Hauser (1993),8
Kazaam (1996),10
Keys to Tulsa (1997),25
Kicked in the Head (1997),7
Kicking and Screaming (1995),13
"Kid in King Arthur's Court, A (1995)",22
Kids (1995),49
Kids in the Hall: Brain Candy (1996),65
Kika (1993),2
Killer (Bulletproof Heart) (1994),4
Killer: A Journal of Murder (1995),1
"Killing Fields, The (1984)",121
Killing Zoe (1994),40
Kim (1950),7
King of New York (1990),1
King of the Hill (1993),4
Kingpin (1996),162
"Kiss Me, Guido (1997)",31
Kiss of Death (1995),20
Kiss the Girls (1997),143
Kissed (1996),6
Kolya (1996),117
Koyaanisqatsi (1983),53
Kull the Conqueror (1997),69
Kundun (1997),42
L.A. Confidential (1997),297
Lady of Burlesque (1943),1
Ladybird Ladybird (1994),4
Lamerica (1994),4
Land Before Time III: The Time of the Great Giving (1995) (V),6
Land and Freedom (Tierra y libertad) (1995),1
Larger Than Life (1996),9
Lashou shentan (1992),1
Lassie (1994),7
Last Action Hero (1993),59
Last Dance (1996),9
"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)",4
Last Man Standing (1996),53
Last Summer in the Hamptons (1995),3
"Last Supper, The (1995)",58
"Last Time I Committed Suicide, The (1997)",7
"Last Time I Saw Paris, The (1954)",3
"Last of the Mohicans, The (1992)",128
