title,rating_count
Late Bloomers (1996),5
Laura (1944),40
Lawnmower Man 2: Beyond Cyberspace (1996),21
"Lawnmower Man, The (1992)",65
Lawrence of Arabia (1962),173
"Lay of the Land, The (1997)",4
"Leading Man, The (1996)",4
Leave It to Beaver (1997),44
Leaving Las Vegas (1995),298
Legal Deceit (1997),5
Legends of the Fall (1994),81
"Leopard Son, The (1996)",1
"Letter From Death Row, A (1998)",3
Liar Liar (1997),485
Liebelei (1933),1
"Life Less Ordinary, A (1997)",53
Life with Mikey (1993),7
Lightning Jack (1994),10
Like Water For Chocolate (Como agua para chocolate) (1992),148
"Line King: Al Hirschfeld, The (1996)",2
"Lion King, The (1994)",220
Little Big League (1994),16
Little Buddha (1993),22
Little City (1998),2
Little Lord Fauntleroy (1936),12
Little Odessa (1994),10
"Little Princess, A (1995)",41
"Little Princess, The (1939)",9
"Little Rascals, The (1994)",18
Little Women (1994),102
Live Nude Girls (1995),23
Living in Oblivion (1995),27
Loaded (1994),5
Local Hero (1983),63
Loch Ness (1995),4
"Locusts, The (1997)",5
Lone Star (1996),187
"Long Kiss Goodnight, The (1996)",185
Looking for Richard (1996),55
Lord of Illusions (1995),24
Losing Chase (1996),8
Losing Isaiah (1995),12
Lost Highway (1997),125
Lost Horizon (1937),34
"Lost World: Jurassic Park, The (1997)",158
Lost in Space (1998),18
Lotto Land (1995),1
Love & Human Remains (1993),12
Love Affair (1994),12
"Love Bug, The (1969)",50
Love Is All There Is (1996),1
Love Jones (1997),42
Love Serenade (1996),4
Love and Death on Long Island (1997),2
Love and Other Catastrophes (1996),7
Love and a .45 (1994),8
Love in the Afternoon (1957),10
Love! Valour! Compassion! (1997),26
Lover's Knot (1996),3
"Low Down Dirty Shame, A (1994)",10
"Low Life, The (1994)",1
M (1931),44
M*A*S*H (1970),206
M. Butterfly (1993),18
MURDER and murder (1996),1
Ma vie en rose (My Life in Pink) (1997),20
"Machine, The (1994)",2
Mad City (1997),47
Mad Dog Time (1996),1
Mad Love (1995),13
Madame Butterfly (1995),7
Made in America (1993),27
"Madness of King George, The (1994)",91
Madonna: Truth or Dare (1991),17
"Magic Hour, The (1998)",5
"Magnificent Seven, The (1954)",121
Major Payne (1994),19
Malice (1993),46
Mallrats (1995),54
"Maltese Falcon, The (1941)",138
Mamma Roma (1962),1
"Man Who Knew Too Little, The (1997)",52
"Man Who Would Be King, The (1975)",80
"Man Without a Face, The (1993)",68
"Man from Down Under, The (1943)",1
"Man in the Iron Mask, The (1998)",12
"Man of No Importance, A (1994)",7
Man of the House (1995),9
Man of the Year (1995),9
"Manchurian Candidate, The (1962)",131
Manhattan (1979),91
Manhattan Murder Mystery (1993),27
Manny & Lo (1996),13
Manon of the Spring (Manon des sources) (1986),58
Margaret's Museum (1995),6
"Mark of Zorro, The (1940)",13
Marked for Death (1990),22
Marlene Dietrich: Shadow and Light (1996) ,1
Mars Attacks! (1996),217
Marvin's Room (1996),78
Mary Poppins (1964),178
Mary Reilly (1996),39
Mary Shelley's Frankenstein (1994),59
"Mask, The (1994)",129
Mat' i syn (1997),1
"MatchMaker, The (1997)",51
Matilda (1996),95
Maverick (1994),128
Maximum Risk (1996),20
Maya Lin: A Strong Clear Vision (1994),4
"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",8
McHale's Navy (1997),69
Mediterraneo (1991),34
Meet John Doe (1941),25
Meet Me in St. Louis (1944),31
Meet Wally Sparks (1997),7
Men With Guns (1997),2
Men in Black (1997),303
Men of Means (1998),2
Menace II Society (1993),50
Mercury Rising (1998),7
Metisse (Café au Lait) (1993),6
Metro (1997),36
Miami Rhapsody (1995),15
Michael (1996),119
Michael Collins (1996),92
Microcosmos: Le peuple de l'herbe (1996),24
Midnight Dancers (Sibak) (1994),5
Midnight in the Garden of Good and Evil (1997),80
Mighty Aphrodite (1995),184
Mighty Morphin Power Rangers: The Movie (1995),11
"Mighty, The (1998)",3
Milk Money (1994),37
Mille bolle blu (1993),1
Miller's Crossing (1990),89
Mimic (1997),101
Mina Tannenbaum (1994),6
Miracle on 34th Street (1994),101
Mirage (1995),1
"Mirror Has Two Faces, The (1996)",66
Mission: Impossible (1996),344
"Misérables, Les (1995)",21
Mixed Nuts (1994),15
"Modern Affair, A (1995)",1
Moll Flanders (1996),42
Mondo (1996),3
Money Talks (1997),92
Money Train (1995),43
"Month by the Lake, A (1995)",9
Monty Python and the Holy Grail (1974),316
Monty Python's Life of Brian (1979),174
Moonlight and Valentino (1995),7
Mortal Kombat (1995),49
Mortal Kombat: Annihilation (1997),43
"Mostro, Il (1994)",1
Mother (1996),169
Mother Night (1996),22
Mouse Hunt (1997),44
Mr. Holland's Opus (1995),293
Mr. Jones (1993),2
Mr. Magoo (1997),12
Mr. Smith Goes to Washington (1939),105
Mr. Wonderful (1993),4
Mr. Wrong (1996),23
"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",96
Mrs. Dalloway (1997),15
Mrs. Doubtfire (1993),192
Mrs. Parker and the Vicious Circle (1994),22
Mrs. Winterbourne (1996),22
Much Ado About Nothing (1993),176
Mulholland Falls (1996),82
Multiplicity (1996),134
Muppet Treasure Island (1996),84
Murder at 1600 (1997),218
Murder in the First (1995),60
"Murder, My Sweet (1944)",9
Muriel's Wedding (1994),100
Mute Witness (1994),17
My Best Friend's Wedding (1997),172
My Crazy Life (Mi vida loca) (1993),11
My Fair Lady (1964),125
My Family (1995),21
My Favorite Season (1993),3
My Favorite Year (1982),62
My Fellow Americans (1996),86
My Left Foot (1989),121
My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),2
My Life as a Dog (Mitt liv som hund) (1985),93
My Man Godfrey (1936),27
My Own Private Idaho (1991),30
Mystery Science Theater 3000: The Movie (1996),130
Nadja (1994),8
Naked (1993),25
Naked Gun 33 1/3: The Final Insult (1994),69
Naked in New York (1994),2
National Lampoon's Senior Trip (1995),7
Natural Born Killers (1994),128
Nell (1994),81
Nelly & Monsieur Arnaud (1995),3
Nemesis 2: Nebula (1995),1
"Neon Bible, The (1995)",4
"Net, The (1995)",120
"NeverEnding Story III, The (1994)",12
"New Age, The (1994)",1
New Jersey Drive (1995),2
New York Cop (1996),2
"Newton Boys, The (1998)",4
"Next Karate Kid, The (1994)",9
"Next Step, The (1995)",1
"Niagara, Niagara (1997)",1
Nick of Time (1995),44
Nico Icon (1995),2
Night Falls on Manhattan (1997),32
Night Flier (1997),7
Night of the Living Dead (1968),64
Night on Earth (1991),36
"Nightmare Before Christmas, The (1993)",143
"Nightmare on Elm Street, A (1984)",111
Nightwatch (1997),3
Nikita (La Femme Nikita) (1990),127
Nil By Mouth (1997),4
Nina Takes a Lover (1994),6
Nine Months (1995),58
Ninotchka (1939),26
Nixon (1995),90
No Escape (1994),5
Nobody Loves Me (Keiner liebt mich) (1994),1
Nobody's Fool (1994),46
Normal Life (1996),1
North (1994),7
North by Northwest (1959),179
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",54
Nosferatu a Venezia (1986),3
Nothing Personal (1995),1
Nothing to Lose (1994),7
Notorious (1946),52
Now and Then (1995),24
Nowhere (1997),3
"Nutty Professor, The (1996)",163
Nénette et Boni (1996),6
"Object of My Affection, The (1998)",1
Of Human Bondage (1934),5
Of Love and Shadows (1994),6
Office Killer (1997),1
"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",5
"Old Man and the Sea, The (1958)",32
Old Yeller (1957),64
Oliver & Company (1988),22
"Omen, The (1976)",85
On Golden Pond (1981),106
Once Upon a Time in America (1984),50
Once Upon a Time in the West (1969),38
Once Upon a Time... When We Were Colored (1995),28
Once Were Warriors (1994),31
One Fine Day (1996),112
One Flew Over the Cuckoo's Nest (1975),264
One Night Stand (1997),15
Only You (1994),39
Open Season (1996),2
Operation Dumbo Drop (1995),31
Original Gangstas (1996),7
Orlando (1993),34
Oscar & Lucinda (1997),21
Othello (1995),72
"Other Voices, Other Rooms (1997)",1
Out to Sea (1997),19
Outbreak (1995),104
"Outlaw, The (1943)",2
"Pagemaster, The (1994)",12
"Pallbearer, The (1996)",22
Palmetto (1998),14
Palookaville (1996),13
Panther (1995),5
"Paper, The (1994)",40
Paradise Lost: The Child Murders at Robin Hood Hills (1996),20
Paradise Road (1997),7
"Parent Trap, The (1961)",73
Paris Is Burning (1990),27
Paris Was a Woman (1995),1
"Paris, France (1993)",3
"Paris, Texas (1984)",46
Party Girl (1995),16
Passion Fish (1992),28
Pather Panchali (1955),8
Paths of Glory (1957),33
Patton (1970),136
"Peacemaker, The (1997)",136
Penny Serenade (1941),8
"People vs. Larry Flynt, The (1996)",215
"Perez Family, The (1995)",14
"Perfect Candidate, A (1996)",4
"Perfect World, A (1993)",50
Persuasion (1995),44
"Pest, The (1997)",8
Pete's Dragon (1977),43
"Phantom, The (1996)",80
Phantoms (1998),13
Pharaoh's Army (1995),1
Phat Beach (1996),5
Phenomenon (1996),244
Philadelphia (1993),137
"Philadelphia Story, The (1940)",104
"Piano, The (1993)",168
Picnic (1955),18
Picture Bride (1995),10
Picture Perfect (1997),81
Pie in the Sky (1995),4
"Pillow Book, The (1995)",26
Pink Floyd - The Wall (1982),114
Pinocchio (1940),101
Platoon (1986),127
Playing God (1997),43
Pocahontas (1995),51
Poetic Justice (1993),9
Poison Ivy II (1995),13
Police Story 4: Project S (Chao ji ji hua) (1993),1
Pollyanna (1960),27
"Pompatus of Love, The (1996)",7
Ponette (1996),10
"Portrait of a Lady, The (1996)",25
"Postino, Il (1994)",183
"Postman, The (1997)",58
Powder (1995),48
Power 98 (1995),1
"Preacher's Wife, The (1996)",68
Prefontaine (1997),3
Pretty Woman (1990),164
"Price Above Rubies, A (1998)",3
Priest (1994),40
Primal Fear (1996),178
Primary Colors (1998),13
"Princess Bride, The (1987)",324
Princess Caraboo (1994),15
Prisoner of the Mountains (Kavkazsky Plennik) (1996),5
Private Benjamin (1980),67
Private Parts (1997),100
"Professional, The (1994)",149
"Program, The (1993)",31
"Promesse, La (1996)",6
"Promise, The (Versprechen, Das) (1994)",1
"Prophecy II, The (1998)",20
"Prophecy, The (1995)",32
Psycho (1960),239
Pulp Fiction (1994),394
Pump Up the Volume (1990),79
Purple Noon (1960),7
Pushing Hands (1992),2
"Pyromaniac's Love Story, A (1995)",7
Quartier Mozart (1992),1
"Queen Margot (Reine Margot, La) (1994)",24
"Quest, The (1996)",27
"Quick and the Dead, The (1995)",48
"Quiet Man, The (1952)",67
"Quiet Room, The (1996)",3
Quiz Show (1994),175
Race the Sun (1996),5
Radioland Murders (1994),12
Raging Bull (1980),116
Raiders of the Lost Ark (1981),420
"Rainmaker, The (1997)",145
Raise the Red Lantern (1991),58
Raising Arizona (1987),256
Ran (1985),70
Ransom (1996),267
Raw Deal (1948),1
Ready to Wear (Pret-A-Porter) (1994),18
Real Genius (1985),119
Reality Bites (1994),77
Rear Window (1954),209
Rebecca (1940),66
Rebel Without a Cause (1955),90
Reckless (1995),8
Red Corner (1997),57
"Red Firecracker, Green Firecracker (1994)",13
Red Rock West (1992),52
"Ref, The (1994)",58
Relative Fear (1994),3
"Relic, The (1997)",25
"Reluctant Debutante, The (1958)",1
"Remains of the Day, The (1993)",150
Renaissance Man (1994),43
"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)",3
Rent-a-Kid (1995),8
"Replacement Killers, The (1998)",39
Reservoir Dogs (1992),148
Restoration (1995),71
"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",44
Return of the Jedi (1983),507
"Return of the Pink Panther, The (1974)",92
Rhyme & Reason (1997),5
"Rich Man's Wife, The (1996)",15
Richard III (1995),89
Richie Rich (1994),21
Ridicule (1996),44
"Right Stuff, The (1983)",157
Ripe (1996),1
Rising Sun (1993),43
"River Wild, The (1994)",146
"Road to Wellville, The (1994)",17
Rob Roy (1995),92
Robert A. Heinlein's The Puppet Masters (1994),18
Robin Hood: Men in Tights (1993),56
Robin Hood: Prince of Thieves (1991),75
Robocop 3 (1993),11
"Rock, The (1996)",378
Rocket Man (1997),49
Roman Holiday (1953),68
Romeo Is Bleeding (1993),37
Romper Stomper (1992),5
Romy and Michele's High School Reunion (1997),98
"Room with a View, A (1986)",134
Roommates (1995),13
Roseanna's Grave (For Roseanna) (1997),5
Rosencrantz and Guildenstern Are Dead (1990),90
Rosewood (1997),114
Rough Magic (1995),2
Ruby in Paradise (1993),23
Rudy (1993),64
"Ruling Class, The (1972)",16
Rumble in the Bronx (1995),174
"Run of the Country, The (1995)",4
S.F.W. (1994),2
Sabrina (1954),64
Sabrina (1995),190
Safe (1995),13
Safe Passage (1994),2
"Saint of Fort Washington, The (1993)",2
"Saint, The (1997)",316
Salut cousin! (1996),2
"Santa Clause, The (1994)",82
Santa with Muscles (1996),2
"Savage Nights (Nuits fauves, Les) (1992)",3
"Scarlet Letter, The (1926)",2
"Scarlet Letter, The (1995)",5
Schindler's List (1993),298
Schizopolis (1996),4
"Scout, The (1994)",12
Scream (1996),478
Scream 2 (1997),106
Scream of Stone (Schrei aus Stein) (1991),1
Screamers (1995),46
"Search for One-eye Jimmy, The (1996)",3
Searching for Bobby Fischer (1993),138
"Second Jungle Book: Mowgli & Baloo, The (1997)",6
"Secret Adventures of Tom Thumb, The (1993)",5
"Secret Agent, The (1996)",6
"Secret Garden, The (1993)",79
"Secret of Roan Inish, The (1994)",71
Secrets & Lies (1996),162
Selena (1997),16
Sense and Sensibility (1995),268
Senseless (1998),7
Serial Mom (1994),54
Set It Off (1996),19
Seven (Se7en) (1995),236
Seven Years in Tibet (1997),155
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",72
"Sex, Lies, and Videotape (1989)",101
"Sexual Life of the Belgians, The (1994)",2
Sgt. Bilko (1996),74
Shadow Conspiracy (1997),44
Shadow of Angels (Schatten der Engel) (1976),1
"Shadow, The (1994)",45
Shadowlands (1993),78
Shadows (Cienie) (1988),1
"Shaggy Dog, The (1959)",30
Shall We Dance? (1937),17
Shall We Dance? (1996),46
Shallow Grave (1994),66
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),26
"Shawshank Redemption, The (1994)",283
She's So Lovely (1997),53
She's the One (1996),73
Shiloh (1997),12
Shine (1996),129
"Shining, The (1980)",206
"Shooter, The (1995)",3
Shooting Fish (1997),10
Shopping (1994),1
Short Cuts (1993),67
"Show, The (1995)",2
Showgirls (1995),23
"Silence of the Lambs, The (1991)",390
"Silence of the Palace, The (Saimt el Qusur) (1994)",1
"Simple Twist of Fate, A (1994)",10
"Simple Wish, A (1997)",3
Singin' in the Rain (1952),137
Sirens (1994),59
Six Degrees of Separation (1993),74
"Sixth Man, The (1997)",9
Sleeper (1973),82
Sleepers (1996),169
Sleepless in Seattle (1993),213
Sleepover (1995),1
Sliding Doors (1998),5
Sling Blade (1996),136
"Slingshot, The (1993)",2
Sliver (1993),37
Small Faces (1995),1
"Smile Like Yours, A (1997)",25
Smilla's Sense of Snow (1997),48
Smoke (1995),74
Sneakers (1992),150
Snow White and the Seven Dwarfs (1937),172
So Dear to My Heart (1949),4
So I Married an Axe Murderer (1993),95
Solo (1996),12
Some Folks Call It a Sling Blade (1993),41
Some Kind of Wonderful (1987),59
Some Like It Hot (1959),128
Some Mother's Son (1996),2
Somebody to Love (1994),2
Someone Else's America (1995),1
Something to Talk About (1995),26
Somewhere in Time (1980),82
Son in Law (1993),39
Sophie's Choice (1982),58
Soul Food (1997),59
"Sound of Music, The (1965)",222
Space Jam (1996),93
"Spanish Prisoner, The (1997)",1
Spanking the Monkey (1994),27
Spawn (1997),143
"Specialist, The (1994)",20
Species (1995),45
Speechless (1994),36
Speed (1994),230
Speed 2: Cruise Control (1997),38
Spellbound (1945),30
Sphere (1998),41
Spice World (1997),26
Spirits of the Dead (Tre passi nel delirio) (1968),2
"Spitfire Grill, The (1996)",97
Sprung (1997),3
Spy Hard (1996),43
Squeeze (1996),3
Stag (1997),9
Stalingrad (1993),12
Stalker (1979),11
Stand by Me (1986),227
Star Kid (1997),3
"Star Maker, The (Uomo delle stelle, L') (1995)",12
Star Maps (1997),19
Star Trek III: The Search for Spock (1984),171
Star Trek IV: The Voyage Home (1986),199
Star Trek V: The Final Frontier (1989),63
Star Trek VI: The Undiscovered Country (1991),161
Star Trek: First Contact (1996),365
Star Trek: Generations (1994),116
Star Trek: The Motion Picture (1979),117
Star Trek: The Wrath of Khan (1982),244
Star Wars (1977),583
Stargate (1994),127
"Stars Fell on Henrietta, The (1995)",3
Starship Troopers (1997),211
"Steal Big, Steal Little (1995)",7
Stealing Beauty (1996),64
Steel (1997),19
Stefano Quantestorie (1993),1
Stephen King's The Langoliers (1995),29
"Sting, The (1973)",241
Stonewall (1995),5
"Story of Xinghua, The (1993)",5
Strange Days (1995),87
Stranger in the House (1997),7
"Stranger, The (1994)",3
Strawberry and Chocolate (Fresa y chocolate) (1993),11
Street Fighter (1994),8
"Streetcar Named Desire, A (1951)",98
Strictly Ballroom (1992),104
Striking Distance (1993),12
Stripes (1981),5
Striptease (1996),67
Stuart Saves His Family (1995),16
"Stupids, The (1996)",17
SubUrbia (1997),12
"Substance of Fire, The (1996)",4
"Substitute, The (1996)",49
Sudden Death (1995),47
Sudden Manhattan (1996),2
"Sum of Us, The (1994)",11
"Sunchaser, The (1996)",1
Sunset Blvd. (1950),65
Sunset Park (1996),8
Super Mario Bros. (1993),26
Supercop (1992),65
Surviving Picasso (1996),19
Surviving the Game (1994),11
Suture (1993),4
"Swan Princess, The (1994)",7
"Sweet Hereafter, The (1997)",44
Sweet Nothing (1995),1
Swept from the Sea (1997),7
Swimming with Sharks (1995),47
Swingers (1996),157
Swiss Family Robinson (1960),39
Switchback (1997),17
Switchblade Sisters (1975),13
"Sword in the Stone, The (1963)",82
"Symphonie pastorale, La (1946)",1
T-Men (1947),1
Tainted (1998),1
Tales From the Crypt Presents: Demon Knight (1995),43
Tales from the Crypt Presents: Bordello of Blood (1996),55
Tales from the Hood (1995),27
Talking About Sex (1994),5
"Tango Lesson, The (1997)",13
Tank Girl (1995),41
Target (1995),1
Taxi Driver (1976),182
Telling Lies in America (1997),13
Temptress Moon (Feng Yue) (1996),3
Terminal Velocity (1994),34
Terminator 2: Judgment Day (1991),295
"Terminator, The (1984)",301
Terror in a Texas Town (1958),1
Tetsuo II: Body Hammer (1992),6
That Darn Cat! (1965),19
That Darn Cat! (1997),41
That Old Feeling (1997),11
That Thing You Do! (1996),176
The Courtyard (1995),1
The Deadly Cure (1996),2
The Innocent (1994),4
Theodore Rex (1995),5
They Made Me a Criminal (1939),1
"Thieves (Voleurs, Les) (1996)",7
"Thin Blue Line, The (1988)",35
"Thin Line Between Love and Hate, A (1996)",12
"Thin Man, The (1934)",60
Things to Do in Denver when You're Dead (1995),71
Thinner (1996),49
"Third Man, The (1949)",72
Thirty-Two Short Films About Glenn Gould (1993),18
This Is Spinal Tap (1984),191
"Thousand Acres, A (1997)",37
"Three Caballeros, The (1945)",22
Three Colors: Blue (1993),64
Three Colors: Red (1994),83
Three Colors: White (1994),59
Three Lives and Only One Death (1996),1
"Three Musketeers, The (1993)",89
Three Wishes (1995),9
Threesome (1994),31
Tie Me Up! Tie Me Down! (1990),32
"Tie That Binds, The (1995)",7
Tigrero: A Film That Was Never Made (1994),1
Time Tracers (1995),2
"Time to Kill, A (1996)",232
Timecop (1994),31
Tin Cup (1996),193
"Tin Drum, The (Blechtrommel, Die) (1979)",40
Tin Men (1987),51
Titanic (1997),350
To Be or Not to Be (1942),18
To Catch a Thief (1955),50
To Cross the Rubicon (1991),1
To Die For (1995),87
To Gillian on Her 37th Birthday (1996),44
"To Have, or Not (1995)",2
To Kill a Mockingbird (1962),219
To Live (Huozhe) (1994),14
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",57
Tokyo Fist (1995),1
Tom & Viv (1994),9
Tom and Huck (1995),12
Tombstone (1993),108
Tommy Boy (1995),66
Tomorrow Never Dies (1997),180
Top Gun (1986),220
Top Hat (1935),21
Total Eclipse (1995),4
Touch (1997),9
Touch of Evil (1958),34
Tough and Deadly (1995),2
Touki Bouki (Journey of the Hyena) (1973),1
Toy Story (1995),452
Trainspotting (1996),250
"Transformers: The Movie, The (1986)",32
Traveller (1997),13
"Treasure of the Sierra Madre, The (1948)",80
Trees Lounge (1996),50
Trial and Error (1997),23
Trial by Jury (1994),7
"Trigger Effect, The (1996)",35
True Crime (1995),9
True Lies (1994),208
True Romance (1993),104
"Truman Show, The (1998)",11
Trust (1990),19
"Truth About Cats & Dogs, The (1996)",272
"Truth or Consequences, N.M. (1997)",3
Turbo: A Power Rangers Movie (1997),5
Turbulence (1997),23
"Turning, The (1992)",2
Twelfth Night (1996),29
Twelve Monkeys (1995),392
Twilight (1998),4
Twin Town (1997),6
Twisted (1996),6
Twister (1996),293
Two Bits (1995),5
Two Deaths (1995),4
Two Friends (1986) ,1
Two Much (1996),7
Two if by Sea (1996),25
Two or Three Things I Know About Her (1966),4
U Turn (1997),64
U.S. Marshalls (1998),9
Ulee's Gold (1997),184
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",21
"Unbearable Lightness of Being, The (1988)",92
Under Siege (1992),124
Under Siege 2: Dark Territory (1995),48
Underground (1995),5
"Underneath, The (1995)",4
Underworld (1997),4
Unforgettable (1996),34
Unforgiven (1992),182
Unhook the Stars (1996),10
Unstrung Heroes (1995),22
Until the End of the World (Bis ans Ende der Welt) (1991),23
Unzipped (1995),11
Up Close and Personal (1996),85
Up in Smoke (1978),47
"Usual Suspects, The (1995)",267
Vampire in Brooklyn (1995),12
"Van, The (1996)",6
Vanya on 42nd Street (1994),27
Vegas Vacation (1997),75
Venice/Venice (1992),2
Vermin (1998),2
Vermont Is For Lovers (1992),1
Vertigo (1958),179
"Very Brady Sequel, A (1996)",93
"Very Natural Thing, A (1974)",1
Victor/Victoria (1982),77
"Vie est belle, La (Life is Rosey) (1987)",1
Village of the Damned (1995),22
Virtuosity (1995),38
"Visitors, The (Visiteurs, Les) (1993)",2
Volcano (1997),219
Wag the Dog (1997),137
Waiting for Guffman (1996),47
Waiting to Exhale (1995),16
"Walk in the Clouds, A (1995)",63
"Walk in the Sun, A (1945)",1
Walkabout (1971),26
"Walking Dead, The (1995)",4
Walking and Talking (1996),8
Wallace & Gromit: The Best of Aardman Animation (1996),67
"War Room, The (1993)",9
"War at Home, The (1996)",1
"War, The (1994)",15
Warriors of Virtue (1997),10
Washington Square (1997),34
Waterworld (1995),102
Wedding Bell Blues (1996),1
"Wedding Gift, The (1994)",3
"Wedding Singer, The (1998)",72
Weekend at Bernie's (1989),60
Welcome To Sarajevo (1997),22
Welcome to the Dollhouse (1995),112
Wend Kuuni (God's Gift) (1982),1
Wes Craven's New Nightmare (1994),35
What Happened Was... (1994),8
What's Eating Gilbert Grape (1993),115
What's Love Got to Do with It (1993),45
When Harry Met Sally... (1989),290
When Night Is Falling (1995),5
When We Were Kings (1996),44
When a Man Loves a Woman (1994),39
When the Cats Away (Chacun cherche son chat) (1996),16
While You Were Sleeping (1995),162
"White Balloon, The (1995)",10
White Man's Burden (1995),10
White Squall (1996),85
"Whole Wide World, The (1996)",6
Widows' Peak (1994),19
"Wife, The (1995)",1
Wild America (1997),9
Wild Bill (1995),12
"Wild Bunch, The (1969)",43
Wild Reeds (1994),14
Wild Things (1998),11
William Shakespeare's Romeo and Juliet (1996),106
Willy Wonka and the Chocolate Factory (1971),326
Window to Paris (1994),1
Wings of Courage (1995),1
Wings of Desire (1987),57
"Wings of the Dove, The (1997)",75
Winnie the Pooh and the Blustery Day (1968),75
"Winter Guest, The (1997)",9
Wishmaster (1997),27
With Honors (1994),46
Withnail and I (1987),13
Witness (1985),1
"Wizard of Oz, The (1939)",246
Wolf (1994),67
"Woman in Question, The (1950)",1
"Women, The (1939)",15
"Wonderful, Horrible Life of Leni Riefenstahl, The (1993)",10
Wonderland (1997),10
"Wooden Man's Bride, The (Wu Kui) (1994)",3
"World of Apu, The (Apur Sansar) (1959)",6
"Wrong Trousers, The (1993)",118
Wyatt Earp (1994),50
Yankee Zulu (1994),1
Year of the Horse (1997),7
You So Crazy (1994),1
Young Frankenstein (1974),200
Young Guns (1988),101
Young Guns II (1990),44
"Young Poisoner's Handbook, The (1995)",41
Zeus and Roxanne (1997),6
unknown,9
Á köldum klaka (Cold Fever) (1994),1
